date,day,campus,count,meal,soup,main_dish,vegetarian,side_dishes,dessert
2024-10-01,tuesday,Guney,189,breakfast,corba,patates,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, recel"
2024-10-01,tuesday,Kilyos,33,breakfast,corba,patates,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, recel"
2024-10-01,tuesday,Kandilli,52,breakfast,corba,patates,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, recel"
2024-10-02,wednesday,Anadoluhisari,412,breakfast,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, recel, tahin-pekmez"
2024-10-02,wednesday,Kuzey,372,breakfast,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, recel, tahin-pekmez"
2024-10-02,wednesday,Guney,159,breakfast,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, recel, tahin-pekmez"
2024-10-02,wednesday,Kilyos,34,breakfast,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, recel, tahin-pekmez"
2024-10-02,wednesday,Kandilli,52,breakfast,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, recel, tahin-pekmez"
2024-10-03,thursday,Anadoluhisari,392,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-03,thursday,Kuzey,367,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-03,thursday,Guney,151,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-03,thursday,Kilyos,51,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-03,thursday,Kandilli,38,breakfast,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-04,friday,Anadoluhisari,366,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-04,friday,Kuzey,270,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-04,friday,Guney,127,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-04,friday,Kandilli,28,breakfast,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-05,saturday,Anadoluhisari,57,breakfast,corba,su boregi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, bal, helva"
2024-10-05,saturday,Kuzey,149,breakfast,corba,su boregi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, bal, helva"
2024-10-05,saturday,Guney,91,breakfast,corba,su boregi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, bal, helva"
